name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
true-plant-9934,50,0.001,0.02,tpcds_static_10_MAB,0.01,0,339541220.135062,"[16615578.474523, 14612032.414799, 13515899.292021995, 14182153.804427998, 13532913.197298998, 13718227.835642, 13533325.647295998, 13695075.746679, 13695238.775804, 13533136.386402998, 13260508.25663, 13260508.256104, 13260508.255591, 13260508.256845, 13260508.255247, 13260508.254799, 13260508.25634, 13260508.256037, 13260508.255052, 13260508.254604, 13260508.256357, 13260508.255066, 13260508.260023, 13260508.256536, 13260522.974936]",
frosty-oath-9935,70,0.001,0.02,tpcds_static_10_MAB,0.01,0,339541220.15012604,"[16615578.467623, 14612032.402088, 13515899.291830994, 14182153.808528, 13532913.200118998, 13718227.835452998, 13533325.645557998, 13695075.746929998, 13695238.774777, 13533136.385116998, 13260508.255928, 13260508.256363, 13260508.254575, 13260508.256422, 13260508.256593, 13260508.255347, 13260508.255383, 13260508.256435, 13260508.257426, 13260508.257426, 13260508.25739, 13260508.25952, 13260508.278888, 13260508.25783, 13260522.976576]",
glamorous-paper-9936,3,0.001,0.002,tpcds_static_10_MAB,0.01,0,343689571.7054209,"[16615578.47521, 14612032.418438, 13515899.292208996, 14182153.804101998, 13532913.200612998, 13718227.836450998, 13533325.641690996, 14612032.136351, 13330564.665441995, 13330768.666382996, 13330768.665278995, 13330564.666860996, 13330564.667040996, 13330768.666151997, 13330564.665436996, 13330564.666316995, 13996815.187331997, 13996388.005071996, 13532725.196684998, 13532725.196545998, 13532725.195070997, 13532725.201350998, 13532725.198231995, 13532725.195610998, 13532725.195543995]",
misunderstood-firefly-9937,5,0.001,0.002,tpcds_static_10_MAB,0.01,0,342769071.55464995,"[16615578.490259, 14612032.430317, 13515899.294236995, 14182153.808236998, 13532913.196894998, 13718227.838210998, 13533325.645873, 13695075.744956998, 13695238.770484, 14612032.135814998, 13330564.664008996, 13330341.485302996, 13330341.485187996, 13330341.491242995, 13330341.484120997, 13515468.114875996, 13330341.484235996, 13330564.664768996, 13330341.484888997, 13330564.664220996, 13513476.633651998, 13513476.639230998, 13513476.635954998, 13513476.633833, 13513476.633838998]",
light-silence-9938,8,0.001,0.002,tpcds_static_10_MAB,0.01,0,342769071.6291939,"[16615578.494675, 14612032.440986998, 13515899.292771997, 14182153.809532998, 13532913.201323995, 13718227.840646, 13533325.649592, 13695075.751429996, 13695238.776416998, 14612032.142791, 13330564.671928996, 13330341.488045996, 13330341.488354996, 13330341.489648996, 13330341.488952996, 13515468.116443995, 13330341.487460995, 13330564.666090995, 13330341.484842995, 13330564.665601997, 13513476.636095, 13513476.640933, 13513476.634239, 13513476.635634998, 13513476.634751998]",
fluent-music-9939,10,0.001,0.002,tpcds_static_10_MAB,0.01,0,339541220.200672,"[16615578.525232, 14612032.422950998, 13515899.291679995, 14182153.808478998, 13532913.198829995, 13718227.836483998, 13533325.64598, 13695075.746022996, 13695238.777683, 13533136.385247998, 13260508.255327, 13260508.257478, 13260508.255203, 13260508.254967, 13260508.256246, 13260508.25556, 13260508.255217, 13260508.255473, 13260508.256843, 13260508.255505, 13260508.254983, 13260508.26151, 13260508.256269, 13260508.255207, 13260522.976293998]",
glamorous-spaceship-9940,15,0.001,0.002,tpcds_static_10_MAB,0.01,0,339541220.1935049,"[16615578.482384, 14612032.441799998, 13515899.291032994, 14182153.809618998, 13532913.197527995, 13718227.835742, 13533325.646735998, 13695075.746311998, 13695238.775182, 13533136.385613998, 13260508.257561, 13260508.256691, 13260508.255195, 13260508.257921, 13260508.256932, 13260508.255312, 13260508.259236, 13260508.260431, 13260508.257252, 13260508.257033, 13260508.257432, 13260508.262288, 13260508.255511, 13260508.257132, 13260522.975627998]",
sparkling-snowball-9941,25,0.001,0.002,tpcds_static_10_MAB,0.01,0,339541220.21801895,"[16615578.479368, 14612032.436975, 13515899.292094994, 14182153.804905, 13532913.198619995, 13718227.839341998, 13533325.648443, 13695075.747781998, 13695238.777454998, 13533136.385307, 13260508.255773, 13260508.256485, 13260508.256434, 13260508.254967, 13260508.27942, 13260508.259615, 13260508.256195, 13260508.256211, 13260508.258642, 13260508.257734, 13260508.25773, 13260508.264694, 13260508.25801, 13260508.257489, 13260522.978328]",
fiery-gorge-9942,50,0.001,0.002,tpcds_static_10_MAB,0.01,0,339541220.25137603,"[16615578.478022, 14612032.452446, 13515899.292673996, 14182153.810192998, 13532913.200719995, 13718227.841348998, 13533325.650446998, 13695075.751378998, 13695238.781121, 13533136.391452998, 13260508.261081, 13260508.259278, 13260508.260444, 13260508.258522, 13260508.257506, 13260508.258702, 13260508.257887, 13260508.256182, 13260508.256902, 13260508.257865, 13260508.261299, 13260508.256765, 13260508.257652, 13260508.261647, 13260522.97984]",
deep-glade-9943,70,0.001,0.002,tpcds_static_10_MAB,0.01,0,339541220.17444587,"[16615578.525554, 14612032.434004998, 13515899.290338997, 14182153.807046998, 13532913.196344998, 13718227.834778998, 13533325.644955998, 13695075.744915998, 13695238.774667, 13533136.384097, 13260508.253799, 13260508.255342, 13260508.254527, 13260508.253882, 13260508.254501, 13260508.254377, 13260508.253784, 13260508.253937, 13260508.254885, 13260508.253647, 13260508.253064, 13260508.254985, 13260508.258931, 13260508.253652, 13260522.974427998]",
