name,tau,delta1,delta2,exp_id,lambda,rounds,rt_sum,rt_list,wandb_flag
eager-lion-15394,8,0.001,0.02,job_static_1_MAB,0.01,0,226138164.79198396,"[15087869.666612, 9261980.647519002, 8751540.562384, 8751540.559786, 8751540.559972, 9216266.343832, 8751540.56455, 8751540.563623998, 8751540.561811998, 8751540.557255, 8751540.564361999, 8751540.557529999, 8751540.559967998, 8789696.382429, 8751540.564880999, 8751540.565036999, 8751540.561739, 8751540.558295999, 8751540.553456, 8751540.555451998, 8751540.556162, 8751540.555011999, 8751540.557382999, 8751540.559579998, 8751540.553351]",True
pleasant-wave-15395,10,0.001,0.02,job_static_1_MAB,0.01,0,226138165.269762,"[15087869.666068, 9261980.593669, 8751540.568152, 8751540.554031, 8751540.554423999, 9216266.336451, 8751540.554534, 8751540.554194, 8751540.573764, 8751540.572575, 8751540.575637, 8751540.573704999, 8751540.572531, 8789696.408736, 8751540.628548998, 8751540.574130999, 8751540.584427, 8751540.624573, 8751540.572882999, 8751540.571775999, 8751540.573733, 8751540.620099999, 8751540.640454, 8751540.576279, 8751540.644385999]",True
whole-valley-15396,15,0.001,0.02,job_static_1_MAB,0.01,0,226138164.55309495,"[15087869.678129, 9261980.584825002, 8751540.548603998, 8751540.549363999, 8751540.54919, 9216266.330173, 8751540.552647999, 8751540.551990999, 8751540.559316, 8751540.552643, 8751540.553071, 8751540.552267998, 8751540.552209, 8789696.372793, 8751540.554552998, 8751540.550655998, 8751540.557446, 8751540.551075999, 8751540.545785999, 8751540.545698998, 8751540.546254, 8751540.550009, 8751540.556970999, 8751540.561617, 8751540.545804]",True
leafy-paper-15397,25,0.001,0.02,job_static_1_MAB,0.01,0,226138166.060236,"[15087869.66324, 9261980.611069, 8751540.725971999, 8751540.717317998, 8751540.716223, 9216266.368909, 8751540.720499, 8751540.717349999, 8751540.716760999, 8751540.583925, 8751540.586205998, 8751540.582322, 8751540.581639, 8789696.406188, 8751540.582804, 8751540.576586999, 8751540.572549999, 8751540.589637998, 8751540.574476998, 8751540.580636999, 8751540.583414, 8751540.580537999, 8751540.574654, 8751540.574718999, 8751540.572596999]",True
icy-frost-15398,50,0.001,0.02,job_static_1_MAB,0.01,0,226138165.667786,"[15087869.665579, 9261980.529217, 8751540.544751, 8751540.546969999, 8751540.548272999, 9216266.331465, 8751540.554601999, 8751540.548231, 8751540.571791999, 8751540.571662, 8751540.572335, 8751540.5725, 8751540.573675, 8789696.400593, 8751540.581697999, 8751540.603897, 8751540.658341, 8751540.656171, 8751540.659441, 8751540.672003, 8751540.669218998, 8751540.662916, 8751540.664761, 8751540.661380999, 8751540.646312999]",True
revived-leaf-15399,70,0.001,0.02,job_static_1_MAB,0.01,0,226138164.822294,"[15087869.663402, 9261980.578814002, 8751540.556176, 8751540.560142, 8751540.573963, 9216266.354277, 8751540.573185999, 8751540.57514, 8751540.578209, 8751540.57219, 8751540.571941, 8751540.565032, 8751540.564949999, 8789696.385220999, 8751540.559750998, 8751540.557857, 8751540.561316999, 8751540.559734998, 8751540.563251, 8751540.559519999, 8751540.564245999, 8751540.558858, 8751540.554898, 8751540.555388, 8751540.55483]",True
pious-armadillo-15400,3,0.001,0.002,job_static_1_MAB,0.01,0,226138164.642872,"[15087869.672581, 9261980.552007, 8751540.556417, 8751540.564638998, 8751540.558417998, 9216266.335655, 8751540.557976998, 8751540.556908999, 8751540.559264999, 8751540.55943, 8751540.559543999, 8751540.559309999, 8751540.553189998, 8789696.373009, 8751540.559811, 8751540.556589, 8751540.554753, 8751540.565569999, 8751540.55885, 8751540.554634, 8751540.554421999, 8751540.554273, 8751540.554722998, 8751540.554852, 8751540.556044]",True
scarlet-forest-15401,5,0.001,0.002,job_static_1_MAB,0.01,0,226138164.55499697,"[15087869.659824, 9261980.568608, 8751540.551717998, 8751540.565630998, 8751540.548719, 9216266.333129, 8751540.55386, 8751540.553066999, 8751540.555044, 8751540.549633998, 8751540.569836998, 8751540.549397, 8751540.550348999, 8789696.367281, 8751540.549672, 8751540.547254, 8751540.546155, 8751540.545305999, 8751540.558648, 8751540.551623, 8751540.554481, 8751540.556953, 8751540.555894999, 8751540.555583999, 8751540.557327999]",True
exalted-salad-15402,8,0.001,0.002,job_static_1_MAB,0.01,0,226138166.17862296,"[15087869.665903, 9261980.583424002, 8751540.565916998, 8751540.562476, 8751540.558928, 9216266.344132, 8751540.560346, 8751540.557258999, 8751540.557993999, 8751540.578505, 8751540.604868999, 8751540.572896, 8751540.660790998, 8789696.482779, 8751540.665920999, 8751540.659745999, 8751540.698833998, 8751540.664633999, 8751540.666306999, 8751540.660048999, 8751540.663273, 8751540.662329, 8751540.660495, 8751540.662034, 8751540.658782]",True
stilted-wind-15403,10,0.001,0.002,job_static_1_MAB,0.01,0,226138165.86198595,"[15087869.663312, 9261980.614307, 8751540.563614, 8751540.55867, 8751540.559401998, 9216266.341145, 8751540.558634998, 8751540.584314, 8751540.564899, 8751540.567713998, 8751540.579276, 8751540.590916999, 8751540.590853, 8789696.421356, 8751540.575689, 8751540.609965999, 8751540.669777999, 8751540.665163, 8751540.662766999, 8751540.661354, 8751540.610761, 8751540.660459999, 8751540.660805998, 8751540.662698999, 8751540.664128998]",True
devoted-morning-15404,15,0.001,0.002,job_static_1_MAB,0.01,0,226138165.44769695,"[15087869.690011, 9261980.546247002, 8751540.547212, 8751540.549875999, 8751540.548467, 9216266.33096, 8751540.553764999, 8751540.550748, 8751540.546076, 8751540.550692, 8751540.564700998, 8751540.562133, 8751540.576886998, 8789696.382213999, 8751540.563850999, 8751540.562955, 8751540.632086, 8751540.658069, 8751540.607988, 8751540.655447999, 8751540.654624999, 8751540.652895, 8751540.652812999, 8751540.655557, 8751540.651421]",True
curious-sun-15405,25,0.001,0.002,job_static_1_MAB,0.01,0,226138165.02582297,"[15087869.667786, 9261980.622775, 8751540.566569999, 8751540.591180999, 8751540.565107, 9216266.347031, 8751540.570634998, 8751540.571566999, 8751540.568664, 8751540.568912, 8751540.571029, 8751540.574136999, 8751540.574403, 8789696.388314, 8751540.568688, 8751540.565425, 8751540.56919, 8751540.593030998, 8751540.568328999, 8751540.573423, 8751540.570096, 8751540.564624999, 8751540.569523, 8751540.569422, 8751540.56596]",True
swift-puddle-15406,50,0.001,0.002,job_static_1_MAB,0.01,0,226138164.550685,"[15087869.665172, 9261980.522137, 8751540.556054, 8751540.556762999, 8751540.555337999, 9216266.332758, 8751540.552517999, 8751540.555390999, 8751540.554574, 8751540.556253, 8751540.553376999, 8751540.555595, 8751540.554556, 8789696.373546999, 8751540.555512998, 8751540.551678998, 8751540.553728, 8751540.555336999, 8751540.552631998, 8751540.551476998, 8751540.553991, 8751540.549479999, 8751540.552677, 8751540.553935999, 8751540.576202]",True
devout-shadow-15407,70,0.001,0.002,job_static_1_MAB,0.01,0,226138164.59406292,"[15087869.679473, 9261980.530927, 8751540.565219998, 8751540.558788, 8751540.559268, 9216266.33641, 8751540.556164999, 8751540.552066999, 8751540.550284998, 8751540.555927, 8751540.554545999, 8751540.559827, 8751540.558487998, 8789696.380113, 8751540.554777998, 8751540.561581999, 8751540.551463999, 8751540.557942, 8751540.553027999, 8751540.551789999, 8751540.551554, 8751540.55174, 8751540.555698, 8751540.553817999, 8751540.553165]",True
radiant-sun-15408,3,0.001,0.0002,job_static_1_MAB,0.01,0,226138164.604124,"[15087869.665719, 9261980.551360002, 8751540.555939998, 8751540.557272999, 8751540.5625, 9216266.339328, 8751540.558381999, 8751540.555124, 8751540.551877, 8751540.56666, 8751540.548975999, 8751540.550239999, 8751540.557372, 8789696.375572, 8751540.553353999, 8751540.550068999, 8751540.564540999, 8751540.553630998, 8751540.553041, 8751540.557438, 8751540.551181, 8751540.547034, 8751540.570208998, 8751540.548480999, 8751540.558821999]",True
fluent-wildflower-15409,5,0.001,0.0002,job_static_1_MAB,0.01,0,226138164.54909995,"[15087869.670489, 9261980.533125002, 8751540.550880998, 8751540.557619, 8751540.552366, 9216266.335006, 8751540.553218, 8751540.549639, 8751540.550644, 8751540.546481999, 8751540.550791, 8751540.548812998, 8751540.551318, 8789696.371546, 8751540.555558, 8751540.555327, 8751540.555814, 8751540.55703, 8751540.553842999, 8751540.557338, 8751540.556677999, 8751540.556590999, 8751540.557722999, 8751540.560741, 8751540.560519999]",True
clean-microwave-15410,8,0.001,0.0002,job_static_1_MAB,0.01,0,226138165.44061196,"[15087869.664826, 9261980.531847002, 8751540.554050999, 8751540.559732, 8751540.555867, 9216266.385326, 8751540.562484, 8751540.55932, 8751540.578333, 8751540.583052998, 8751540.575517999, 8751540.577006, 8751540.577487, 8789696.402491, 8751540.625013, 8751540.696884999, 8751540.602199, 8751540.591163, 8751540.615712998, 8751540.629344, 8751540.588613, 8751540.592141999, 8751540.653951999, 8751540.588057999, 8751540.590188999]",True
