name,tau,delta1,delta2,exp_id,lambda,rounds,wandb_flag,rt_sum,rt_list
likely-brook-3462,25,0.5,2e-06,tpch_static_1_MAB,0.8,0,,99584303.159689,"[4388976.039488001, 3943444.297311, 4087214.806397, 3943444.118824, 3937149.561001001, 3937113.567495001, 3937212.343984, 3850583.792203, 3937113.312547001, 3838766.952308001, 3937212.282822001, 3937212.2744800006, 3838766.952002001, 3991924.9022630006, 4087214.802562, 4087214.805382, 4087214.810788001, 4087214.803175001, 4087214.803528, 3940266.512864, 3940365.483322, 3940365.484435, 3940365.484245, 3940365.483645, 3940365.482618]"
sandy-galaxy-3459,15,0.5,2e-06,tpch_static_1_MAB,0.8,0,,99430994.52977604,"[4388976.037241001, 3943444.356097, 4087214.80418, 3943444.113487, 3937149.553459, 3937113.563686001, 3937212.344734001, 3850583.7926270007, 3937113.3125980007, 3838766.952710001, 3937212.2840030007, 3937212.2828780008, 3838766.9526400007, 3991924.9031660007, 4087214.803102, 4087214.8039, 4087214.803278, 4087214.802871001, 4087214.801957, 3940266.511516, 3943444.115179, 3937212.292198001, 3937212.344141, 3937212.344449, 3793437.653679]"
prime-resonance-3456,10,0.5,2e-06,tpch_static_1_MAB,0.8,0,,98977932.66853698,"[4388976.032121001, 3943444.288441, 4087214.794507, 3943444.103354, 3937149.542924, 3937113.553349001, 3937212.332829, 3850583.7830400006, 3937113.3028430007, 3838766.943039001, 3937212.2743290006, 3937212.2730800007, 3838766.943108001, 3991924.892877001, 4087214.792913, 4087214.793218, 3943444.103748, 3937212.273902001, 3937212.333267001, 3937212.333595, 3793437.643583, 3937212.333476001, 3937212.333466, 3937212.333722001, 3937212.333806]"
vital-voice-3453,8,0.5,2e-06,tpch_static_1_MAB,0.8,0,,98534153.04114898,"[4388976.023725, 3943444.275193, 4087214.794441, 3943444.104461, 3937149.543481, 3937113.552892001, 3937212.332839001, 3850583.7829920007, 3937113.303104001, 3838766.942648001, 3937212.2740540006, 3937212.2735100007, 3838766.943230001, 3991924.8929210007, 3943444.104713, 3937212.274136001, 3937212.333671, 3937212.333382, 3793437.643924, 3937212.334327, 3937212.333916, 3937212.333537, 3937212.333592, 3937212.333095, 3793437.643365]"
zesty-spaceship-3451,5,0.5,2e-06,tpch_static_1_MAB,0.8,0,,98578198.96096005,"[4388976.013294, 3943444.261459, 4087214.795037, 3943444.112647, 3937149.552903, 3937113.5625670007, 3937212.342231, 3850583.792138001, 3937113.312140001, 3838766.9521830007, 3937212.286558001, 3943444.117204, 3937236.4072500006, 3937236.406248001, 3793461.716334, 3937236.406457001, 3937236.406405001, 3937236.403353001, 3937236.402493001, 3937236.402654001, 3937236.395011001, 3937236.394721001, 3937236.3959500007, 3793461.721246, 3937236.402477001]"
chocolate-terrain-3450,3,0.5,2e-06,tpch_static_1_MAB,0.8,0,,97070618.083095,"[4388975.998784, 3943444.304007, 4087214.795216, 3943444.113053, 3937149.552844, 3937113.562457001, 3937212.34317, 3850583.791993001, 3943444.115732, 3940357.463449, 3796590.795372, 3940365.482837, 3940365.482615, 3790363.023987, 3790363.022739, 3790363.022574, 3790363.02263, 3790363.023911, 3790363.027063, 3790363.022935, 3790363.022662, 3790363.023093, 3790363.022923, 3790363.023077, 3790363.023972]"
clean-serenity-3448,70,0.5,2e-05,tpch_static_1_MAB,0.8,0,,99584302.83914602,"[4388976.0188110005, 3943444.260766, 4087214.793134, 3943444.103077, 3937149.542256001, 3937113.552283001, 3937212.332283001, 3850583.782441001, 3937113.3024150007, 3838766.942341001, 3937212.273798001, 3937212.2725240006, 3838766.9422900006, 3991924.8927870006, 4087214.792487, 4087214.792895, 4087214.79224, 4087214.792371, 4087214.792169001, 3940266.502612, 3940365.47332, 3940365.47241, 3940365.472634, 3940365.472416, 3940365.472386]"
fearless-sponge-3446,50,0.5,2e-05,tpch_static_1_MAB,0.8,0,,99584302.85440102,"[4388975.997704, 3943444.286286, 4087214.793266, 3943444.103087, 3937149.54285, 3937113.552943001, 3937212.333182, 3850583.784492001, 3937113.303307001, 3838766.942663, 3937212.2736200006, 3937212.272841001, 3838766.9427860007, 3991924.8927830006, 4087214.792634, 4087214.793898, 4087214.792973, 4087214.792667, 4087214.792557, 3940266.502634, 3940365.473326, 3940365.472829, 3940365.4733, 3940365.472747, 3940365.473026]"
fresh-wave-3444,25,0.5,2e-05,tpch_static_1_MAB,0.8,0,,99584302.878627,"[4388976.018736, 3943444.280504, 4087214.793809, 3943444.10373, 3937149.543043, 3937113.553035001, 3937212.333412, 3850583.783471, 3937113.303373001, 3838766.943112001, 3937212.275484001, 3937212.273199001, 3838766.943230001, 3991924.893121001, 4087214.793794, 4087214.794212, 4087214.793300001, 4087214.793083001, 4087214.793241, 3940266.503165, 3940365.473741, 3940365.472988, 3940365.473299, 3940365.473364, 3940365.473181]"
polar-dawn-3441,15,0.5,2e-05,tpch_static_1_MAB,0.8,0,,99427940.04722704,"[4388976.023864, 3943444.290542, 4087214.793778, 3943444.103467, 3937149.543025001, 3937113.553272001, 3937212.333745, 3850583.783306, 3937113.303081001, 3838766.942890001, 3937212.273858001, 3937212.2737480006, 3838766.9433170008, 3991924.8936490007, 4087214.793972001, 4087214.79374, 4087214.793188, 4087214.793066, 4087214.7925, 3943444.103482, 3937212.274295001, 3937212.334416, 3937212.334544, 3793437.644461, 3937212.334021]"
